Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
174,20,RL,80.0,10197,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1961,1961,Gable,Other,Other,491.0,TA,TA,CBlock,TA,TA,No,ALQ,288,Other,374,700,1362,TA,Y,1362,0,0,1362,1,0,1,1,3,1,TA,6,1,TA,Attchd,1961.0,Unf,2,504,TA,TA,Y,0,20,0,0,0,0,0,6,2008,Other,Normal,163000
175,20,RL,47.0,12416,IR1,Lvl,Inside,Gtl,Other,1Fam,1Story,6,5,1986,1986,Gable,VinylSd,Other,132.0,TA,TA,CBlock,Gd,Other,No,ALQ,1398,Other,208,0,1606,TA,Y,1651,0,0,1651,1,0,2,0,3,1,TA,7,1,TA,Attchd,1986.0,Fin,2,616,TA,TA,Y,192,0,0,0,0,0,0,11,2008,WD,Normal,184000
176,20,RL,84.0,12615,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,6,7,1950,2001,Gable,Other,Other,0.0,TA,TA,CBlock,TA,Other,Av,ALQ,477,Unf,0,725,1202,TA,Y,2158,0,0,2158,1,0,2,0,4,1,Gd,7,1,Gd,Attchd,1950.0,Unf,2,576,TA,TA,Y,0,29,39,0,0,0,0,6,2007,WD,Normal,243000
177,60,RL,97.0,10029,IR1,Lvl,Other,Gtl,Other,1Fam,2Story,6,5,1988,1989,Gable,Other,Other,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831,Unf,0,320,1151,TA,Y,1164,896,0,2060,0,1,2,1,4,1,TA,8,1,TA,Attchd,1988.0,Unf,2,521,TA,TA,Y,0,228,0,0,192,0,0,9,2007,WD,Normal,211000
178,50,RL,69.0,13650,Reg,Lvl,Inside,Gtl,Other,1Fam,1.5Fin,5,5,1958,1958,Gable,MetalSd,MetalSd,0.0,Gd,Other,CBlock,TA,TA,No,ALQ,57,Other,441,554,1052,Ex,Y,1252,668,0,1920,1,0,2,0,4,1,Gd,8,1,Gd,Attchd,1958.0,Unf,2,451,TA,TA,Y,0,0,0,0,0,0,0,7,2006,WD,Normal,172500
179,20,RL,63.0,17423,IR1,Lvl,Other,Gtl,Other,1Fam,1Story,9,5,2008,2009,Other,VinylSd,VinylSd,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,1904,Unf,0,312,2216,Ex,Y,2234,0,0,2234,1,0,2,0,1,1,Ex,9,1,Gd,Attchd,2009.0,Fin,3,1166,TA,TA,Y,0,60,0,0,0,0,0,7,2009,Other,Other,501837
180,30,Other,60.0,8520,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1Story,5,6,1923,2006,Gable,Other,Other,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,0,968,968,TA,Y,968,0,0,968,0,0,1,0,2,1,TA,5,0,Missing,Detchd,1935.0,Unf,2,480,Other,TA,Other,0,0,184,0,0,0,0,7,2007,WD,Normal,100000
181,160,Other,69.0,2117,Reg,Lvl,Inside,Gtl,Other,Other,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,436,Unf,0,320,756,Ex,Y,769,756,0,1525,0,0,2,1,3,1,Gd,5,1,TA,Detchd,2000.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,0,6,2007,WD,Normal,177000
182,70,RL,54.0,7588,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,7,6,1920,1950,Gable,Other,Other,0.0,TA,TA,BrkTil,Other,TA,No,Other,352,Unf,0,441,793,Gd,Y,901,901,0,1802,0,0,1,1,4,1,TA,9,1,Gd,Detchd,1920.0,Unf,1,216,Other,TA,Y,0,0,40,0,0,0,0,7,2006,WD,Normal,200100
183,20,RL,60.0,9060,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,6,1957,2006,Other,Other,Other,98.0,TA,TA,PConc,Other,Other,Other,Other,0,Other,0,0,0,Ex,Y,1340,0,0,1340,0,0,1,0,3,1,TA,7,1,Gd,Attchd,1957.0,RFn,1,252,TA,TA,Y,116,0,0,180,0,0,0,6,2007,WD,Normal,120000
184,50,Other,63.0,11426,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1362,1362,Ex,Y,1362,720,0,2082,0,0,2,1,3,1,Gd,6,0,Missing,Detchd,2003.0,Unf,2,484,TA,TA,Other,280,238,0,0,0,0,0,6,2008,WD,Normal,200000
185,50,RL,92.0,7438,IR1,Lvl,Inside,Gtl,Other,1Fam,1.5Fin,5,8,1908,1991,Gable,Other,Other,0.0,TA,TA,PConc,Other,TA,No,Unf,0,Unf,0,504,504,Gd,Y,936,316,0,1252,0,0,1,0,3,1,TA,5,0,Missing,Attchd,1986.0,Unf,2,576,TA,TA,Y,104,0,0,0,0,0,0,6,2006,WD,Normal,127000
186,75,Other,90.0,22950,IR2,Lvl,Inside,Gtl,OldTown,1Fam,Other,10,9,1892,1993,Gable,Other,Other,0.0,Gd,Other,BrkTil,TA,TA,Other,Unf,0,Unf,0,1107,1107,Ex,Y,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,2,TA,Detchd,1993.0,Unf,3,840,Other,TA,Y,0,260,0,0,410,0,0,6,2006,WD,Normal,475000
187,80,RL,69.0,9947,IR1,Lvl,Other,Gtl,Other,1Fam,Other,7,5,1990,1991,Gable,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611,Unf,0,577,1188,Ex,Y,1217,0,0,1217,1,0,2,0,3,1,Gd,6,0,Missing,Attchd,1990.0,Unf,2,497,TA,TA,Y,168,27,0,0,0,0,0,6,2009,WD,Normal,173000
188,50,RL,60.0,10410,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,5,7,1916,1987,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,Other,TA,No,Unf,0,Unf,0,660,660,Ex,Y,808,704,144,1656,0,0,2,1,3,1,TA,8,0,Missing,Detchd,1916.0,Unf,1,180,Other,Other,Other,0,0,0,140,0,0,0,8,2009,WD,Normal,135000
189,90,RL,64.0,7018,Reg,Other,Inside,Gtl,Other,Other,Other,5,5,1979,1979,Gable,Other,Other,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,TA,Y,1224,0,0,1224,2,0,0,2,2,2,TA,6,2,TA,Detchd,1979.0,Unf,2,528,TA,TA,Y,120,0,0,0,0,0,0,6,2009,WD,Other,153337
190,120,RL,41.0,4923,Reg,Lvl,Inside,Gtl,Other,Other,1Story,8,5,2001,2002,Gable,Other,Other,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153,Unf,0,440,1593,Ex,Y,1593,0,0,1593,1,0,1,1,0,1,Ex,5,1,Gd,Attchd,2001.0,Fin,2,682,TA,TA,Y,0,120,0,0,224,0,0,8,2008,WD,Normal,286000
191,70,RL,70.0,10570,Reg,Other,Inside,Other,Other,1Fam,2Story,8,8,1932,1994,Other,Other,Other,0.0,Gd,TA,CBlock,Gd,Other,No,Other,297,Unf,0,556,853,TA,Y,1549,1178,0,2727,0,0,2,1,3,1,Gd,10,2,TA,Detchd,1932.0,Unf,2,440,TA,TA,Y,0,74,0,0,0,0,0,12,2007,WD,Normal,315000
192,60,RL,69.0,7472,IR1,Lvl,Other,Gtl,NAmes,1Fam,2Story,7,9,1972,2004,Gable,HdBoard,HdBoard,138.0,TA,TA,CBlock,TA,TA,No,ALQ,626,Unf,0,99,725,Gd,Y,725,754,0,1479,1,0,1,1,4,1,Gd,7,0,Missing,Attchd,1972.0,Fin,2,484,TA,TA,Y,0,32,0,0,0,0,0,6,2007,WD,Normal,184000
193,20,RL,68.0,9017,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,1999,1999,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,1431,Ex,Y,1431,0,0,1431,1,0,2,0,3,1,Gd,6,0,Missing,Attchd,1999.0,Fin,2,666,TA,TA,Y,0,35,0,0,0,0,0,9,2009,WD,Normal,192000
194,160,Other,24.0,2522,Reg,Lvl,Inside,Gtl,Other,Other,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,970,970,Ex,Y,970,739,0,1709,0,0,2,0,3,1,Gd,7,0,Missing,Detchd,2004.0,Unf,2,380,TA,TA,Y,0,40,0,0,0,0,0,5,2006,WD,Normal,130000
195,20,RL,60.0,7180,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1972,1972,Other,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,TA,Y,864,0,0,864,0,0,1,0,3,1,TA,5,0,Missing,Detchd,1989.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,0,5,2008,WD,Normal,127000
196,160,RL,24.0,2280,Reg,Lvl,Other,Gtl,Other,Other,2Story,6,6,1976,1976,Gable,Other,Other,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,566,Unf,0,289,855,TA,Y,855,601,0,1456,0,0,2,1,3,1,TA,7,1,TA,Attchd,1976.0,Unf,2,440,TA,TA,Y,87,0,0,0,0,0,0,7,2009,WD,Normal,148500
197,20,RL,79.0,9416,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,7,5,2007,2007,Other,Other,Other,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,1126,Unf,0,600,1726,Ex,Y,1726,0,0,1726,1,0,2,0,3,1,Ex,8,1,Gd,Attchd,2007.0,Fin,3,786,TA,TA,Y,171,138,0,0,266,0,0,9,2007,Other,Other,311872
198,75,RL,174.0,25419,Reg,Lvl,Other,Gtl,NAmes,1Fam,2Story,8,4,1918,1990,Gable,Other,Other,0.0,Gd,Other,PConc,TA,TA,No,GLQ,1036,Other,184,140,1360,Gd,Y,1360,1360,392,3112,1,1,2,0,4,1,Gd,8,1,Other,Detchd,1918.0,Unf,2,795,TA,TA,Y,0,16,552,0,0,512,0,3,2006,WD,Other,235000
199,75,Other,92.0,5520,Reg,Lvl,Other,Gtl,OldTown,1Fam,Other,6,6,1912,1950,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,755,755,Ex,Y,929,929,371,2229,0,0,1,0,5,1,TA,8,0,Missing,Other,1980.0,Missing,0,0,Other,Other,Y,0,198,30,0,0,0,0,7,2009,WD,Other,104000
200,20,RL,76.0,9591,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,8,5,2004,2005,Other,VinylSd,VinylSd,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,Ex,Y,1713,0,0,1713,1,0,2,0,3,1,Ex,7,1,Gd,Attchd,2004.0,Fin,3,856,TA,TA,Y,0,26,0,0,170,0,0,1,2009,WD,Normal,274900
201,20,Other,80.0,8546,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,4,5,2003,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1121,1121,Ex,Y,1121,0,0,1121,0,0,2,0,2,1,TA,5,0,Missing,Attchd,2003.0,RFn,2,440,TA,TA,Y,132,64,0,0,0,0,0,3,2010,WD,Normal,140000
202,20,RL,75.0,10125,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,6,6,1977,1977,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641,Other,279,276,1196,TA,Y,1279,0,0,1279,0,1,2,0,3,1,TA,6,2,Other,Detchd,1980.0,Unf,2,473,TA,TA,Y,238,83,0,0,0,0,0,2,2008,WD,Normal,171500
203,50,RL,50.0,7000,Reg,Lvl,Other,Gtl,OldTown,1Fam,1.5Fin,6,6,1924,1950,Gable,MetalSd,MetalSd,0.0,TA,Other,BrkTil,Other,TA,No,Other,617,Unf,0,0,617,Gd,Y,865,445,0,1310,0,0,2,0,2,1,TA,6,0,Missing,Attchd,1924.0,Unf,1,398,TA,TA,Y,0,0,126,0,0,0,0,5,2006,Other,Normal,112000
204,120,Other,69.0,4438,Reg,Lvl,Inside,Gtl,CollgCr,Other,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,848,Ex,Y,848,0,0,848,1,0,1,0,1,1,Gd,3,1,Gd,Attchd,2004.0,RFn,2,420,TA,TA,Y,149,0,0,0,0,0,0,1,2008,WD,Normal,149000
205,50,Other,50.0,3500,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,5,7,1947,1950,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,Other,312,Unf,0,408,720,TA,Y,720,564,0,1284,0,0,1,1,2,1,TA,5,0,Missing,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,35,0,0,0,0,0,4,2009,WD,Normal,110000
206,20,RL,99.0,11851,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,7,5,1990,1990,Gable,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1424,1424,Ex,Y,1442,0,0,1442,0,0,2,0,3,1,TA,5,0,Missing,Attchd,1990.0,RFn,2,500,TA,TA,Y,0,34,0,508,0,0,0,5,2009,WD,Normal,180500
207,20,RL,40.0,13673,IR1,Lvl,Other,Gtl,Other,1Fam,1Story,5,5,1962,1962,Gable,HdBoard,HdBoard,0.0,TA,Other,CBlock,TA,TA,No,Unf,0,Unf,0,1140,1140,TA,Y,1696,0,0,1696,0,0,1,1,3,1,TA,8,1,TA,Attchd,1962.0,RFn,1,349,TA,TA,Y,0,30,0,0,0,0,0,3,2007,WD,Normal,143900
208,20,RL,69.0,12493,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,4,5,1960,1960,Gable,Other,Other,0.0,TA,TA,PConc,TA,TA,No,ALQ,419,Other,306,375,1100,TA,Y,1100,0,0,1100,1,0,1,0,3,1,TA,6,1,Other,Attchd,1960.0,RFn,1,312,TA,TA,Y,355,0,0,0,0,0,0,4,2008,WD,Normal,141000
209,60,RL,69.0,14364,IR1,Other,Inside,Other,Other,1Fam,2Story,7,5,1988,1989,Gable,Other,Other,128.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157,Ex,Y,1180,882,0,2062,1,0,2,1,3,1,TA,7,1,Gd,Attchd,1988.0,Fin,2,454,TA,TA,Y,60,55,0,0,154,0,0,4,2007,WD,Normal,277000
210,20,RL,75.0,8250,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,7,1964,1964,Other,HdBoard,HdBoard,260.0,TA,TA,CBlock,Gd,TA,No,Other,787,Unf,0,305,1092,Ex,Y,1092,0,0,1092,1,0,1,0,3,1,TA,6,0,Missing,Attchd,1964.0,RFn,2,504,TA,Other,Y,0,0,0,0,0,0,0,7,2008,WD,Normal,145000
211,30,RL,67.0,5604,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,6,1925,1950,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,Other,468,Unf,0,396,864,TA,Other,864,0,0,864,1,0,1,0,2,1,TA,5,0,Missing,Other,1980.0,Missing,0,0,Other,Other,Y,0,0,96,0,0,0,0,4,2008,WD,Normal,98000
212,20,RL,83.0,10420,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,6,5,2009,2009,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Other,GLQ,36,Unf,0,1176,1212,Ex,Y,1212,0,0,1212,0,0,2,0,3,1,Gd,6,0,Missing,Attchd,2009.0,RFn,2,460,TA,TA,Y,100,22,0,0,0,0,0,3,2010,WD,Normal,186000
213,60,Other,72.0,8640,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,822,Unf,0,78,900,Ex,Y,932,920,0,1852,1,0,2,1,3,1,Gd,7,1,TA,Attchd,2009.0,RFn,2,644,TA,TA,Y,168,108,0,0,0,0,0,7,2009,Other,Other,252678
214,20,RL,43.0,13568,IR2,Lvl,Other,Gtl,CollgCr,1Fam,1Story,5,5,1995,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716,Unf,0,274,990,Ex,Y,990,0,0,990,0,1,1,0,3,1,TA,5,0,Missing,Attchd,1996.0,Unf,2,576,TA,TA,Y,224,0,0,0,0,0,0,7,2006,WD,Normal,156000
215,60,RL,69.0,10900,IR1,Lvl,Other,Gtl,CollgCr,1Fam,2Story,6,7,1977,1977,Gable,HdBoard,HdBoard,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,378,Unf,0,311,689,Ex,Y,689,703,0,1392,0,0,1,1,3,1,TA,6,0,Missing,Attchd,1977.0,Fin,1,299,TA,TA,Y,0,36,0,0,0,0,450,3,2010,WD,Normal,161750
216,20,RL,72.0,10011,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1957,1996,Gable,HdBoard,HdBoard,64.0,TA,TA,CBlock,TA,TA,No,Other,360,Unf,0,710,1070,TA,Y,1236,0,0,1236,0,1,1,0,2,1,Gd,6,1,Other,Attchd,1957.0,Unf,1,447,TA,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,134450
217,20,RL,65.0,8450,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,266.0,Gd,TA,PConc,Gd,TA,Other,GLQ,946,Unf,0,490,1436,Ex,Y,1436,0,0,1436,1,0,2,0,3,1,Gd,8,0,Missing,Attchd,2004.0,Unf,2,484,TA,TA,Y,139,98,0,0,0,0,0,4,2008,WD,Normal,210000
218,70,Other,57.0,9906,Reg,Lvl,Inside,Gtl,OldTown,1Fam,2Story,4,4,1925,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,686,686,Other,Other,810,518,0,1328,0,0,1,0,3,1,TA,8,0,Missing,Detchd,1940.0,Unf,1,210,TA,TA,Y,0,172,60,0,0,0,0,9,2006,WD,Other,107000
219,50,RL,69.0,15660,IR1,Lvl,Other,Gtl,Other,1Fam,1.5Fin,7,9,1939,2006,Gable,VinylSd,VinylSd,312.0,Gd,Other,CBlock,TA,TA,No,Other,341,Unf,0,457,798,Ex,Y,1137,817,0,1954,0,1,1,1,3,1,Gd,8,2,TA,Attchd,1939.0,Unf,2,431,TA,TA,Y,0,119,150,0,0,0,0,5,2008,WD,Normal,311500
220,120,RL,43.0,3010,Reg,Lvl,Inside,Gtl,Other,Other,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1232,1248,Ex,Y,1248,0,0,1248,0,0,2,0,2,1,Gd,5,0,Missing,Attchd,2005.0,Fin,2,438,TA,TA,Y,108,0,0,0,0,0,0,3,2006,Other,Other,167240
221,20,RL,73.0,8990,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Other,Unf,0,Unf,0,1498,1498,Ex,Y,1498,0,0,1498,0,0,2,0,2,1,Gd,5,0,Missing,Attchd,2006.0,RFn,2,675,TA,TA,Y,351,33,0,0,0,0,0,4,2006,Other,Other,204900
222,60,RL,69.0,8068,IR1,Lvl,Inside,Gtl,Other,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1010,1010,Ex,Y,1010,1257,0,2267,0,0,2,1,4,1,Gd,8,1,TA,BuiltIn,2002.0,RFn,2,390,TA,TA,Y,120,46,0,0,0,0,0,12,2009,Other,Normal,200000
223,60,RL,85.0,11475,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,6,6,1975,1975,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,550,Unf,0,163,713,TA,Y,811,741,0,1552,1,0,2,1,3,1,TA,6,1,TA,Attchd,1975.0,RFn,2,434,TA,TA,Y,209,208,0,0,0,0,0,2,2006,WD,Normal,179900
224,20,RL,70.0,10500,Reg,Lvl,Other,Gtl,NAmes,1Fam,1Story,4,6,1971,1971,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,524,Other,180,160,864,Gd,Y,864,0,0,864,0,0,1,0,2,1,TA,4,0,Missing,Detchd,1989.0,Unf,2,576,TA,TA,Y,216,0,0,0,0,0,0,3,2009,WD,Other,97000
225,20,RL,103.0,13472,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,10,5,2003,2003,Other,VinylSd,VinylSd,922.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392,Ex,Y,2392,0,0,2392,0,0,2,0,3,1,Ex,8,1,Other,Attchd,2003.0,Fin,3,968,TA,TA,Y,248,105,0,0,0,0,0,6,2009,WD,Normal,386250
226,160,Other,21.0,1680,Reg,Lvl,Inside,Gtl,Other,Other,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,142.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,630,630,TA,Y,630,672,0,1302,0,0,2,1,3,1,TA,6,0,Missing,Detchd,1991.0,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,0,5,2009,Other,Other,112000
227,60,RL,82.0,9950,IR1,Lvl,Inside,Gtl,Other,1Fam,2Story,7,5,1995,1995,Gable,VinylSd,VinylSd,290.0,Gd,TA,PConc,Gd,TA,No,GLQ,565,Unf,0,638,1203,Ex,Y,1214,1306,0,2520,0,0,2,1,4,1,Gd,9,1,TA,Attchd,1995.0,RFn,3,721,TA,TA,Y,224,114,0,0,0,0,0,6,2007,WD,Other,290000
228,160,Other,21.0,1869,Reg,Lvl,Inside,Gtl,Other,Other,2Story,6,6,1970,1970,Gable,HdBoard,HdBoard,127.0,TA,TA,CBlock,TA,TA,No,Other,321,Unf,0,162,483,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,5,0,Missing,Detchd,1987.0,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,0,9,2008,WD,Normal,106000
229,20,RL,70.0,8521,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,5,5,1967,1967,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,842,Unf,0,70,912,TA,Y,912,0,0,912,0,0,1,0,3,1,TA,5,1,Other,Detchd,1974.0,Unf,1,336,TA,TA,Y,0,0,0,0,0,0,0,5,2010,WD,Normal,125000
230,120,RL,43.0,3182,Reg,Lvl,Inside,Gtl,Other,Other,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1357,1373,Ex,Y,1555,0,0,1555,0,0,2,0,2,1,Gd,7,1,TA,Attchd,2005.0,Fin,2,430,TA,TA,Y,143,20,0,0,0,0,0,5,2009,WD,Normal,192500
231,20,RL,73.0,8760,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,6,1959,1959,Other,MetalSd,MetalSd,220.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1194,1194,TA,Y,1194,0,0,1194,1,0,1,0,3,1,TA,6,0,Missing,Attchd,1959.0,RFn,1,312,TA,TA,Y,0,0,120,0,0,0,0,4,2010,WD,Normal,148000
232,60,RL,174.0,15138,IR1,Lvl,Inside,Gtl,Other,1Fam,2Story,8,5,1995,1996,Gable,VinylSd,VinylSd,506.0,Gd,TA,PConc,Gd,TA,No,GLQ,689,Unf,0,773,1462,Ex,Y,1490,1304,0,2794,1,0,2,1,4,1,Ex,9,1,TA,Attchd,1995.0,Fin,3,810,TA,TA,Y,0,146,202,0,0,0,0,7,2009,WD,Normal,403000
233,160,Other,21.0,1680,Reg,Lvl,Inside,Gtl,Other,Other,2Story,6,5,1972,1972,Gable,HdBoard,HdBoard,297.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,483,483,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,5,1,Other,Attchd,1972.0,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,0,6,2006,WD,Normal,94500
234,20,RL,75.0,10650,Reg,Lvl,Other,Gtl,CollgCr,1Fam,1Story,5,6,1976,1976,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,Other,Av,Other,182,Other,712,0,894,TA,Y,894,0,0,894,1,0,1,0,3,1,TA,5,0,Missing,Attchd,1976.0,Unf,1,308,TA,TA,Y,365,0,0,0,0,0,0,2,2010,WD,Normal,128200
235,60,RL,69.0,7851,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,625,Unf,0,235,860,Ex,Y,860,1100,0,1960,1,0,2,1,4,1,Gd,8,2,TA,BuiltIn,2002.0,Fin,2,440,TA,TA,Y,288,48,0,0,0,0,0,5,2010,WD,Normal,216500
236,160,Other,21.0,1680,Reg,Lvl,Inside,Gtl,Other,Other,2Story,6,3,1971,1971,Gable,HdBoard,HdBoard,604.0,TA,TA,CBlock,TA,TA,No,ALQ,358,Unf,0,125,483,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,5,0,Missing,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,0,8,2008,WD,Normal,89500
237,20,RL,65.0,8773,Reg,Lvl,Other,Gtl,CollgCr,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1390,1414,Ex,Y,1414,0,0,1414,0,0,2,0,3,1,Gd,6,0,Missing,Attchd,2004.0,RFn,2,494,TA,TA,Y,132,105,0,0,0,0,0,5,2010,WD,Normal,185500
238,60,RL,69.0,9453,IR1,Lvl,Other,Gtl,Other,1Fam,2Story,7,7,1993,2003,Gable,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,No,Other,402,Unf,0,594,996,Ex,Y,1014,730,0,1744,0,0,2,1,3,1,Gd,7,0,Missing,Attchd,1993.0,RFn,2,457,TA,TA,Y,370,70,0,238,0,0,0,2,2010,WD,Normal,194500
239,20,RL,93.0,12030,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,8,5,2007,2007,Other,VinylSd,VinylSd,254.0,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1694,1694,Ex,Y,1694,0,0,1694,0,0,2,0,3,1,Gd,7,0,Missing,Attchd,2007.0,Fin,3,818,TA,TA,Y,168,228,0,0,0,0,0,12,2007,Other,Other,318000
